VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes_aegypti,670,published,polygon,NA,26.47,-97.68,1980,United States of America,USA,259,NA
Aedes_aegypti,671,published,polygon,NA,27.43,-97.73,1980,United States of America,USA,259,NA
Aedes_aegypti,672,published,point,-999,27.51,-99.51,1980,United States of America,USA,259,NA
Aedes_aegypti,673,published,point,-999,27.64,-80.39,1980,United States of America,USA,259,NA
Aedes_aegypti,674,published,polygon,NA,27.76,-99.33,1980,United States of America,USA,259,NA
Aedes_aegypti,675,published,point,-999,27.8,-97.39,1980,United States of America,USA,259,NA
Aedes_aegypti,676,published,polygon,NA,28.42,-97.74,1980,United States of America,USA,259,NA
Aedes_aegypti,677,published,polygon,NA,28.74,-100.31,1980,United States of America,USA,259,NA
Aedes_aegypti,678,published,polygon,NA,29.45,-98.52,1980,United States of America,USA,259,NA
Aedes_aegypti,679,published,polygon,NA,29.89,-96.28,1980,United States of America,USA,259,NA
Aedes_aegypti,680,published,point,-999,29.94,-90.05,1980,United States of America,USA,259,NA
Aedes_aegypti,681,published,polygon,NA,32.55,-94.37,1980,United States of America,USA,259,NA
Aedes_aegypti,693,published,point,-999,30.33,-81.65,1981,United States of America,USA,259,NA
Aedes_aegypti,694,published,point,-999,30.34,-81.71,1981,United States of America,USA,259,NA
Aedes_aegypti,695,published,point,-999,30.35,-81.69,1981,United States of America,USA,259,NA
Aedes_aegypti,696,published,point,-999,30.35,-81.76,1981,United States of America,USA,259,NA
Aedes_aegypti,735,published,point,-999,29.93,-90.08,1982,United States of America,USA,259,NA
Aedes_aegypti,736,published,point,-999,29.94,-90.05,1982,United States of America,USA,259,NA
Aedes_aegypti,737,published,point,-999,29.95,-90.05,1982,United States of America,USA,259,NA
Aedes_aegypti,738,published,point,-999,29.95,-90.14,1982,United States of America,USA,259,NA
Aedes_aegypti,739,published,point,-999,29.95,-90.12,1982,United States of America,USA,259,NA
Aedes_aegypti,740,published,point,-999,29.96,-90.01,1982,United States of America,USA,259,NA
Aedes_aegypti,741,published,point,-999,29.98,-90.07,1982,United States of America,USA,259,NA
Aedes_aegypti,742,published,point,-999,30,-90.09,1982,United States of America,USA,259,NA
Aedes_aegypti,743,published,point,-999,30.01,-90.02,1982,United States of America,USA,259,NA
Aedes_aegypti,775,published,point,-999,29.93,-90.08,1983,United States of America,USA,259,NA
Aedes_aegypti,776,published,point,-999,29.94,-90.05,1983,United States of America,USA,259,NA
Aedes_aegypti,777,published,point,-999,29.95,-90.05,1983,United States of America,USA,259,NA
Aedes_aegypti,778,published,point,-999,29.95,-90.14,1983,United States of America,USA,259,NA
Aedes_aegypti,779,published,point,-999,29.96,-90.01,1983,United States of America,USA,259,NA
Aedes_aegypti,780,published,point,-999,29.97,-90.09,1983,United States of America,USA,259,NA
Aedes_aegypti,781,published,point,-999,30,-90.1,1983,United States of America,USA,259,NA
Aedes_aegypti,782,published,point,-999,30.01,-90.02,1983,United States of America,USA,259,NA
Aedes_aegypti,783,published,point,-999,35.14,-90.04,1983,United States of America,USA,259,NA
Aedes_aegypti,793,published,point,-999,35.79,-78.65,1984,United States of America,USA,259,NA
Aedes_aegypti,806,published,point,-999,29.83,-95.4,1985,United States of America,USA,259,NA
Aedes_aegypti,807,published,point,-999,41.61,-71.25,1985,United States of America,USA,259,NA
Aedes_aegypti,821,published,point,-999,29.42,-98.5,1986,United States of America,USA,259,NA
Aedes_aegypti,822,published,point,-999,31.46,-97.2,1986,United States of America,USA,259,NA
Aedes_aegypti,823,published,point,-999,37.98,-87.56,1986,United States of America,USA,259,NA
Aedes_aegypti,881,published,point,-999,29.73,-94.97,1987,United States of America,USA,259,NA
Aedes_aegypti,882,published,point,-999,30.21,-92.02,1987,United States of America,USA,259,NA
Aedes_aegypti,883,published,point,-999,30.33,-81.65,1987,United States of America,USA,259,NA
